experiment_id,successful,wave_amplitude,wave_frequency,square_position,square_dimension_perc,line_center_coordinates,line_thickness_perc,line_dimension_perc,line_angle,rotation,scale,filename
433,False,0.3,1.48,"(423, 214)",0.4,,0.0,0.0,0.0,"(-20, -18)",1.050634937899642,qr3-TtAkZf4j98TBiE.png
434,False,0.3,1.48,"(174, 496)",0.5,,0.0,0.0,0.0,"(-20, -18)",1.050634937899642,qr3-TtAkZf4j98TBiE.png
435,True,0.3,1.51,"(419, 321)",0.1,,0.0,0.0,0.0,"(13, -17)",1.0662746977886493,qr3-TtAkZf4j98TBiE.png
436,False,0.3,1.51,"(104, 98)",0.2,,0.0,0.0,0.0,"(13, -17)",1.0662746977886493,qr3-TtAkZf4j98TBiE.png
437,False,0.3,1.51,"(552, 202)",0.3,,0.0,0.0,0.0,"(13, -17)",1.0662746977886493,qr3-TtAkZf4j98TBiE.png
438,False,0.3,1.51,"(191, 192)",0.4,,0.0,0.0,0.0,"(13, -17)",1.0662746977886493,qr3-TtAkZf4j98TBiE.png
439,False,0.3,1.51,"(485, 509)",0.5,,0.0,0.0,0.0,"(13, -17)",1.0662746977886493,qr3-TtAkZf4j98TBiE.png
440,True,0.3,1.89,"(528, 226)",0.1,,0.0,0.0,0.0,"(-12, 15)",0.9489684485753748,qr3-fZ5GWiX8.png
441,True,0.3,1.89,"(452, 400)",0.2,,0.0,0.0,0.0,"(-12, 15)",0.9489684485753748,qr3-fZ5GWiX8.png
442,False,0.3,1.89,"(117, 375)",0.3,,0.0,0.0,0.0,"(-12, 15)",0.9489684485753748,qr3-fZ5GWiX8.png
443,False,0.3,1.89,"(367, 415)",0.4,,0.0,0.0,0.0,"(-12, 15)",0.9489684485753748,qr3-fZ5GWiX8.png
444,False,0.3,1.89,"(297, 329)",0.5,,0.0,0.0,0.0,"(-12, 15)",0.9489684485753748,qr3-fZ5GWiX8.png
445,True,0.3,1.35,"(486, 278)",0.1,,0.0,0.0,0.0,"(-12, 20)",0.9964575218353795,qr3-fZ5GWiX8.png
446,True,0.3,1.35,"(265, 483)",0.2,,0.0,0.0,0.0,"(-12, 20)",0.9964575218353795,qr3-fZ5GWiX8.png
447,False,0.3,1.35,"(341, 120)",0.3,,0.0,0.0,0.0,"(-12, 20)",0.9964575218353795,qr3-fZ5GWiX8.png
448,False,0.3,1.35,"(443, 291)",0.4,,0.0,0.0,0.0,"(-12, 20)",0.9964575218353795,qr3-fZ5GWiX8.png
449,False,0.3,1.35,"(252, 422)",0.5,,0.0,0.0,0.0,"(-12, 20)",0.9964575218353795,qr3-fZ5GWiX8.png
450,True,0.3,1.7,"(360, 563)",0.1,,0.0,0.0,0.0,"(-16, -14)",1.0792255019223866,qr3-faRZ0H0PmA.png
451,True,0.3,1.7,"(394, 217)",0.2,,0.0,0.0,0.0,"(-16, -14)",1.0792255019223866,qr3-faRZ0H0PmA.png
452,False,0.3,1.7,"(314, 501)",0.3,,0.0,0.0,0.0,"(-16, -14)",1.0792255019223866,qr3-faRZ0H0PmA.png
453,False,0.3,1.7,"(268, 188)",0.4,,0.0,0.0,0.0,"(-16, -14)",1.0792255019223866,qr3-faRZ0H0PmA.png
454,False,0.3,1.7,"(190, 253)",0.5,,0.0,0.0,0.0,"(-16, -14)",1.0792255019223866,qr3-faRZ0H0PmA.png
455,True,0.3,1.63,"(247, 426)",0.1,,0.0,0.0,0.0,"(-17, 14)",1.0458429719921174,qr3-faRZ0H0PmA.png
456,True,0.3,1.63,"(84, 228)",0.2,,0.0,0.0,0.0,"(-17, 14)",1.0458429719921174,qr3-faRZ0H0PmA.png
457,False,0.3,1.63,"(226, 125)",0.3,,0.0,0.0,0.0,"(-17, 14)",1.0458429719921174,qr3-faRZ0H0PmA.png
