experiment_id,successful,wave_amplitude,wave_frequency,square_position,square_dimension_perc,line_center_coordinates,line_thickness_perc,line_dimension_perc,line_angle,rotation,scale,filename
73,False,0.2,1.55,"(155, 408)",0.4,,0.0,0.0,0.0,"(13, -17)",1.029039165420928,_claycode2-fragment-DPVvmG0KpNe4E.png
74,False,0.2,1.55,"(376, 385)",0.5,,0.0,0.0,0.0,"(13, -17)",1.029039165420928,_claycode2-fragment-DPVvmG0KpNe4E.png
75,True,0.2,1.46,"(309, 437)",0.1,,0.0,0.0,0.0,"(-15, 13)",1.0102994873451774,_claycode2-fragment-DPVvmG0KpNe4E.png
76,False,0.2,1.46,"(353, 399)",0.2,,0.0,0.0,0.0,"(-15, 13)",1.0102994873451774,_claycode2-fragment-DPVvmG0KpNe4E.png
77,False,0.2,1.46,"(357, 316)",0.3,,0.0,0.0,0.0,"(-15, 13)",1.0102994873451774,_claycode2-fragment-DPVvmG0KpNe4E.png
78,False,0.2,1.46,"(365, 474)",0.4,,0.0,0.0,0.0,"(-15, 13)",1.0102994873451774,_claycode2-fragment-DPVvmG0KpNe4E.png
79,False,0.2,1.46,"(202, 335)",0.5,,0.0,0.0,0.0,"(-15, 13)",1.0102994873451774,_claycode2-fragment-DPVvmG0KpNe4E.png
80,True,0.2,1.28,"(448, 53)",0.1,,0.0,0.0,0.0,"(-10, 20)",1.0676430815378408,_claycode2-fragment-OPuod.png
81,True,0.2,1.28,"(401, 181)",0.2,,0.0,0.0,0.0,"(-10, 20)",1.0676430815378408,_claycode2-fragment-OPuod.png
82,True,0.2,1.28,"(571, 370)",0.3,,0.0,0.0,0.0,"(-10, 20)",1.0676430815378408,_claycode2-fragment-OPuod.png
83,False,0.2,1.28,"(525, 439)",0.4,,0.0,0.0,0.0,"(-10, 20)",1.0676430815378408,_claycode2-fragment-OPuod.png
84,False,0.2,1.28,"(482, 303)",0.5,,0.0,0.0,0.0,"(-10, 20)",1.0676430815378408,_claycode2-fragment-OPuod.png
85,True,0.2,1.46,"(575, 135)",0.1,,0.0,0.0,0.0,"(14, -11)",0.9265235728290447,_claycode2-fragment-OPuod.png
86,True,0.2,1.46,"(92, 416)",0.2,,0.0,0.0,0.0,"(14, -11)",0.9265235728290447,_claycode2-fragment-OPuod.png
87,False,0.2,1.46,"(235, 138)",0.3,,0.0,0.0,0.0,"(14, -11)",0.9265235728290447,_claycode2-fragment-OPuod.png
88,True,0.2,1.46,"(216, 504)",0.4,,0.0,0.0,0.0,"(14, -11)",0.9265235728290447,_claycode2-fragment-OPuod.png
